API Number,Operator,Lease Name,Well Number,County,District,Well Type,Status,Permit Date,Completion Date,Formation,Total Depth,Lateral Length,IP Oil (bbl/day),IP Gas (mcf/day),Total Oil (12mo),Total Gas (12mo),Ownership Count,Lease Count,Has Frac Data
42-303-78993-21,"Devon Energy","Midland Basin",3H,MARTIN,08,Oil & Gas,Producing,,,,,,,,20399,53987,1,0,No
42-353-91284-14,"Endeavor Energy Resources","Goldsmith",35,PECOS,08,Oil,Producing,,,,,,,,20315,96178,0,0,No
42-221-34856-35,"Callon Petroleum","Yates Pool",45H,HOWARD,08,Oil & Gas,Producing,,,,,,,,20265,65790,0,0,No
42-269-74312-34,"SM Energy","Midland Basin",4H,LOVING,08,Oil & Gas,Producing,,,,,,,,20261,71537,0,1,No
42-221-66072-55,"Laredo Petroleum","Yates Pool",46,HOWARD,08,Oil & Gas,Producing,,,,,,,,20236,48178,0,0,No
42-475-43496-44,"Apache Corporation","South Texas Unit",29H,WARD,08,Oil,Producing,,,,,,,,20212,52069,0,0,No
42-353-83201-82,"ExxonMobil","Martin Ranch",9H,PECOS,08,Oil,Producing,,,,,,,,20185,59259,0,1,No
42-269-30700-86,"EOG Resources","Delaware Basin",4H,LOVING,08,Oil,Producing,,,,,,,,19859,86208,0,0,No
42-221-41361-85,"Centennial Resource Development","Spraberry Trend",39H,HOWARD,08,Oil & Gas,Producing,,,,,,,,19751,73818,0,0,No
42-269-35754-31,"CrownQuest Operating","State Lands",50H,LOVING,08,Oil & Gas,Producing,,,,,,,,19690,57860,0,0,No
42-130-32593-43,"Diamondback Energy","Mabee Ranch",32,ECTOR,08,Oil & Gas,Producing,,,,,,,,19555,47863,0,0,No
42-269-47125-09,"Pioneer Natural Resources","Webb County Gas",23,LOVING,08,Oil & Gas,Producing,,,,,,,,19544,103408,0,0,No
42-221-71611-40,"CrownQuest Operating","King Ranch Unit",4,HOWARD,08,Oil & Gas,Producing,,,,,,,,19520,73004,0,0,No
42-353-39268-14,"Chevron USA","Howard Draw",13H,PECOS,08,Oil & Gas,Producing,,,,,,,,19509,28431,0,0,No
42-475-21576-70,"Marathon Oil","Goldsmith",12,WARD,08,Oil,Producing,,,,,,,,19489,71697,0,0,No
42-221-98143-53,"Centennial Resource Development","South Texas Unit",19H,HOWARD,08,Oil,Producing,,,,,,,,19436,52682,0,1,No
42-269-83066-90,"Centennial Resource Development","Spraberry Trend",45H,LOVING,08,Oil & Gas,Producing,,,,,,,,19433,54897,0,0,No
42-353-94673-19,"Devon Energy","Ward County Unit",35H,PECOS,08,Oil & Gas,Producing,,,,,,,,19429,90053,1,0,No
42-269-31548-87,"Surge Energy","TXL Ranch",44,LOVING,08,Oil,Producing,,,,,,,,19417,76798,1,1,No
42-130-95217-49,"Laredo Petroleum","McElroy Ranch",19H,ECTOR,08,Oil & Gas,Producing,,,,,,,,19415,65692,0,1,No
42-371-88587-01,"Endeavor Energy Resources","Howard Draw",34,REEVES,08,Oil,Producing,,,,,,,,19307,20763,0,1,No
42-303-87156-18,"Diamondback Energy","Bass Ranch",35H,MARTIN,08,Oil & Gas,Producing,,,,,,,,19265,23363,1,1,No
42-475-82424-59,"Laredo Petroleum","Loving County Ranch",43H,WARD,08,Oil & Gas,Producing,,,,,,,,19008,57016,0,0,No
42-371-93075-76,"CrownQuest Operating","Spraberry Deep",9H,REEVES,08,Oil & Gas,Producing,,,,,,,,18999,90917,0,1,No
42-221-76776-26,"SM Energy","Karnes Trough",17H,HOWARD,08,Oil,Producing,,,,,,,,18901,24786,0,1,No
42-475-90661-83,"Endeavor Energy Resources","Howard Draw",15H,WARD,08,Oil,Producing,,,,,,,,18852,83083,0,2,No
42-130-76552-04,"EOG Resources","Goldsmith",30H,ECTOR,08,Oil & Gas,Producing,,,,,,,,18836,94397,0,0,No
42-221-31882-96,"Centennial Resource Development","Eagle Ford Unit",14,HOWARD,08,Oil & Gas,Producing,,,,,,,,18833,40361,1,2,No
42-303-44429-36,"EOG Resources","San Andres",12H,MARTIN,08,Oil,Producing,,,,,,,,18821,32938,1,0,No
42-269-10506-78,"Mewbourne Oil Company","Big Lake",50H,LOVING,08,Oil,Producing,,,,,,,,18747,88343,0,1,No
42-303-49881-20,"Devon Energy","Yates Pool",45,MARTIN,08,Oil,Producing,,,,,,,,18670,101737,0,0,No
42-353-48965-31,"CrownQuest Operating","Pecos Valley",44H,PECOS,08,Oil & Gas,Producing,,,,,,,,18605,112730,1,1,No
42-221-99980-32,"CrownQuest Operating","San Andres",40,HOWARD,08,Oil & Gas,Producing,,,,,,,,18589,92802,1,0,No
42-371-53792-16,"Marathon Oil","Spraberry Trend",4,REEVES,08,Oil,Producing,,,,,,,,18572,31823,0,0,No
42-475-77978-97,"Chevron USA","Martin Ranch",18H,WARD,08,Oil,Producing,,,,,,,,18560,24631,1,0,No
42-371-93651-69,"Pioneer Natural Resources","Mabee Ranch",31,REEVES,08,Oil,Producing,,,,,,,,18388,65250,1,0,No
42-475-80226-26,"Surge Energy","Big Lake",18,WARD,08,Oil & Gas,Producing,,,,,,,,18355,89133,0,0,No
42-269-70318-79,"Occidental Petroleum","Ward County Unit",46,LOVING,08,Oil & Gas,Producing,,,,,,,,18280,22440,0,0,No
42-221-16294-43,"Diamondback Energy","State Lands",39H,HOWARD,08,Oil,Producing,,,,,,,,18139,97678,1,1,No
42-221-84357-71,"Pioneer Natural Resources","McElroy Ranch",32H,HOWARD,08,Oil,Producing,,,,,,,,18027,51005,0,1,No
42-475-11923-78,"Endeavor Energy Resources","Howard Draw",28H,WARD,08,Oil,Producing,,,,,,,,18024,101217,0,0,No
42-303-20197-11,"ConocoPhillips","McElroy Ranch",34,MARTIN,08,Oil & Gas,Producing,,,,,,,,17855,30407,0,1,No
42-371-20309-49,"ConocoPhillips","Dimmit County Oil",26,REEVES,08,Oil & Gas,Producing,,,,,,,,17818,25896,0,0,No
42-475-58110-24,"Mewbourne Oil Company","Permian Basin Unit",9,WARD,08,Oil,Producing,,,,,,,,17811,48105,1,0,No
42-371-12792-25,"Apache Corporation","Avalon Shale",29,REEVES,08,Oil,Producing,,,,,,,,17763,55882,0,0,No
42-303-41958-35,"SM Energy","Spraberry Deep",14H,MARTIN,08,Oil & Gas,Producing,,,,,,,,17752,80266,0,0,No
42-130-24746-79,"ConocoPhillips","Cowden Ranch",18H,ECTOR,08,Oil,Producing,,,,,,,,17736,57633,0,0,No
42-269-74417-86,"ExxonMobil","Hendrick",5H,LOVING,08,Oil,Producing,,,,,,,,17717,108332,1,0,No
42-475-47428-31,"Occidental Petroleum","Mabee Ranch",37H,WARD,08,Oil & Gas,Producing,,,,,,,,17605,48240,0,0,No
42-269-61605-70,"Diamondback Energy","Goldsmith",5H,LOVING,08,Oil & Gas,Producing,,,,,,,,17603,32858,0,1,No
42-353-31050-73,"Laredo Petroleum","Section 12",19,PECOS,08,Oil,Producing,,,,,,,,17587,63538,0,0,No
42-317-45829-49,"ConocoPhillips","McElroy Ranch",8H,MIDLAND,08,Oil & Gas,Producing,,,,,,,,17530,81200,0,2,No
42-317-58582-30,"CrownQuest Operating","Clearfork Unit",36H,MIDLAND,08,Oil,Producing,,,,,,,,17521,95905,0,1,No
42-221-87882-36,"Marathon Oil","State Lands",37H,HOWARD,08,Oil & Gas,Producing,,,,,,,,17509,74279,0,0,No
42-371-48292-40,"Surge Energy","Block 42",30,REEVES,08,Oil & Gas,Producing,,,,,,,,17502,78354,0,1,No
42-130-12781-59,"Centennial Resource Development","Eagle Ford Unit",33H,ECTOR,08,Oil & Gas,Producing,,,,,,,,17128,39183,0,0,No
42-123-12464-11,"Apache Corporation","Loving County Ranch",17H,DEWITT,01,Oil & Gas,Producing,,,,,,,,17088,19436,0,0,No
42-130-58822-00,"EOG Resources","Cowden Ranch",20H,ECTOR,08,Oil,Producing,,,,,,,,17033,60726,0,0,No
42-269-14856-58,"Centennial Resource Development","Bass Ranch",46,LOVING,08,Oil & Gas,Producing,,,,,,,,16984,101266,0,1,No
42-269-16903-67,"Surge Energy","State Lands",16H,LOVING,08,Oil & Gas,Producing,,,,,,,,16964,51792,1,0,No
42-479-83275-00,"Mewbourne Oil Company","Webb County Gas",39,WEBB,04,Oil & Gas,Producing,,,,,,,,16788,57907,0,0,No
42-269-50168-76,"Marathon Oil","Delaware Basin",35H,LOVING,08,Oil,Producing,,,,,,,,16788,120106,1,1,No
42-130-48685-98,"EOG Resources","DeWitt Shale",23,ECTOR,08,Oil,Producing,,,,,,,,16683,101609,0,0,No
42-269-15622-11,"Laredo Petroleum","Yates Pool",38H,LOVING,08,Oil,Producing,,,,,,,,16540,42680,0,0,No
42-353-89287-27,"Callon Petroleum","King Ranch Unit",34,PECOS,08,Oil,Producing,,,,,,,,16538,43946,0,0,No
42-475-10608-17,"Endeavor Energy Resources","Bone Spring Unit",46H,WARD,08,Oil,Producing,,,,,,,,16500,77917,0,0,No
42-303-99623-22,"Apache Corporation","Big Lake",44H,MARTIN,08,Oil,Producing,,,,,,,,16420,81742,0,0,No
42-269-36160-26,"Surge Energy","Dimmit County Oil",38H,LOVING,08,Oil,Producing,,,,,,,,16361,87971,0,0,No
42-475-43974-68,"SM Energy","Hendrick",50,WARD,08,Oil,Producing,,,,,,,,16269,63354,0,0,No
42-317-20376-69,"Marathon Oil","Spraberry Deep",1H,MIDLAND,08,Oil,Producing,,,,,,,,16239,77403,1,0,No
42-479-28028-64,"Pioneer Natural Resources","Ward County Unit",40,WEBB,04,Oil,Producing,,,,,,,,16237,25962,0,0,No
42-475-41006-27,"Fasken Oil and Ranch","Block 42",47,WARD,08,Oil & Gas,Producing,,,,,,,,16229,25937,0,1,No
42-130-64388-55,"SM Energy","Block 42",37,ECTOR,08,Oil & Gas,Producing,,,,,,,,16187,47374,0,1,No
42-371-20210-19,"Apache Corporation","Spraberry Trend",35,REEVES,08,Oil & Gas,Producing,,,,,,,,16162,100873,0,0,No
42-479-43691-36,"Surge Energy","Pecos Valley",42,WEBB,04,Oil,Producing,,,,,,,,16089,71982,0,0,No
42-479-47908-84,"Callon Petroleum","Martin Ranch",26H,WEBB,04,Oil & Gas,Producing,,,,,,,,16081,70845,0,0,No
42-303-10307-96,"ConocoPhillips","Mabee Ranch",4H,MARTIN,08,Oil & Gas,Producing,,,,,,,,15929,79831,0,0,No
42-269-44596-53,"Chevron USA","Webb County Gas",30H,LOVING,08,Oil & Gas,Producing,,,,,,,,15923,86062,0,0,No
42-239-41006-36,"Ovintiv","Fasken Ranch",14H,KARNES,01,Oil,Producing,,,,,,,,15839,13133,0,1,No
42-303-97432-32,"Apache Corporation","Webb County Gas",4H,MARTIN,08,Oil,Producing,,,,,,,,15792,65950,0,0,No
42-130-75435-16,"Pioneer Natural Resources","Dimmit County Oil",21,ECTOR,08,Oil,Producing,,,,,,,,15691,61971,0,0,No
42-123-36794-25,"Occidental Petroleum","Karnes Trough",38,DEWITT,01,Oil,Producing,,,,,,,,15656,45256,0,0,No
42-123-68534-94,"Mewbourne Oil Company","Bass Ranch",34,DEWITT,01,Oil & Gas,Producing,,,,,,,,15606,16215,0,0,No
42-371-21604-17,"SM Energy","Pecos Valley",26H,REEVES,08,Oil & Gas,Producing,,,,,,,,15547,50782,1,1,No
42-353-27975-76,"Fasken Oil and Ranch","Karnes Trough",13H,PECOS,08,Oil,Producing,,,,,,,,15434,63942,0,0,No
42-303-77824-65,"Laredo Petroleum","Martin Ranch",18H,MARTIN,08,Oil,Producing,,,,,,,,15429,60308,0,0,No
42-269-91654-16,"Mewbourne Oil Company","Cowden Ranch",32,LOVING,08,Oil,Producing,,,,,,,,15263,16793,0,2,No
42-303-57151-25,"Callon Petroleum","Karnes Trough",4H,MARTIN,08,Oil & Gas,Producing,,,,,,,,15241,95210,0,1,No
42-127-57780-64,"ConocoPhillips","Section 12",13,DIMMIT,01,Oil & Gas,Producing,,,,,,,,15161,21804,2,2,No
42-130-68936-30,"Callon Petroleum","Webb County Gas",24H,ECTOR,08,Oil & Gas,Producing,,,,,,,,15087,27308,0,0,No
42-123-67613-25,"Centennial Resource Development","Goldsmith",17H,DEWITT,01,Oil & Gas,Producing,,,,,,,,15049,20055,0,0,No
42-269-10241-08,"Fasken Oil and Ranch","Hendrick",5,LOVING,08,Oil & Gas,Producing,,,,,,,,15013,23073,0,0,No
42-479-90435-84,"Chevron USA","Spraberry Trend",6H,WEBB,04,Oil,Producing,,,,,,,,14789,69973,0,1,No
42-475-72782-98,"Fasken Oil and Ranch","Bone Spring Unit",22H,WARD,08,Oil,Producing,,,,,,,,14768,89586,0,1,No
42-353-13384-53,"Fasken Oil and Ranch","Mabee Ranch",24H,PECOS,08,Oil,Producing,,,,,,,,14737,36089,0,0,No
42-127-16024-61,"Chevron USA","Dimmit County Oil",24,DIMMIT,01,Oil & Gas,Producing,,,,,,,,14725,66881,1,0,No
42-479-43519-16,"Centennial Resource Development","Loving County Ranch",18H,WEBB,04,Oil & Gas,Producing,,,,,,,,14687,16546,1,0,No
42-317-16341-88,"SM Energy","Fasken Ranch",6,MIDLAND,08,Oil,Producing,,,,,,,,14664,54307,1,0,No
42-479-36305-31,"Chevron USA","Goldsmith",25H,WEBB,04,Oil,Producing,,,,,,,,14573,10430,0,0,No
42-239-62980-65,"ExxonMobil","Bass Ranch",23H,KARNES,01,Oil & Gas,Producing,,,,,,,,14560,60664,0,0,No
42-239-80051-75,"Laredo Petroleum","Howard Draw",40,KARNES,01,Oil,Producing,,,,,,,,14559,54780,0,0,No
42-479-51010-27,"Centennial Resource Development","Spraberry Deep",43,WEBB,04,Oil,Producing,,,,,,,,14553,47016,0,0,No
42-221-40882-76,"Devon Energy","King Ranch Unit",12H,HOWARD,08,Oil,Producing,,,,,,,,14459,26168,1,0,No
42-353-12648-59,"Occidental Petroleum","Bass Ranch",29H,PECOS,08,Oil & Gas,Producing,,,,,,,,14454,108129,0,0,No
42-303-89336-93,"Marathon Oil","Clearfork Unit",30,MARTIN,08,Oil & Gas,Producing,,,,,,,,14439,106012,0,1,No
42-371-59475-71,"Marathon Oil","Ward County Unit",5H,REEVES,08,Oil,Producing,,,,,,,,14386,46439,0,1,No
42-303-55011-21,"Pioneer Natural Resources","University Lands",15H,MARTIN,08,Oil,Producing,,,,,,,,14349,76898,0,0,No
42-130-29007-46,"Endeavor Energy Resources","Goldsmith",2H,ECTOR,08,Oil,Producing,,,,,,,,14315,68827,1,0,No
42-353-50153-63,"Mewbourne Oil Company","Wolfcamp Ranch",21H,PECOS,08,Oil & Gas,Producing,,,,,,,,14238,19274,1,0,No
42-239-78279-12,"Laredo Petroleum","Fasken Ranch",14H,KARNES,01,Oil,Producing,,,,,,,,14225,65944,0,0,No
42-479-28294-85,"ConocoPhillips","Dimmit County Oil",32,WEBB,04,Oil & Gas,Producing,,,,,,,,14189,45259,0,0,No
42-123-10586-71,"Centennial Resource Development","State Lands",33,DEWITT,01,Oil & Gas,Producing,,,,,,,,14144,14974,0,0,No
42-221-95023-75,"Marathon Oil","Mabee Ranch",19H,HOWARD,08,Oil & Gas,Producing,,,,,,,,14125,65679,0,0,No
42-123-36269-10,"CrownQuest Operating","Mabee Ranch",3,DEWITT,01,Oil,Producing,,,,,,,,14104,17570,0,0,No
42-317-15662-42,"Surge Energy","Avalon Shale",15H,MIDLAND,08,Oil,Producing,,,,,,,,14095,98568,0,1,No
42-475-41139-27,"Diamondback Energy","Hendrick",24H,WARD,08,Oil,Producing,,,,,,,,14085,60577,0,0,No
42-269-71374-24,"Diamondback Energy","McElroy Ranch",26H,LOVING,08,Oil,Producing,,,,,,,,14082,65304,0,1,No
42-127-64695-38,"Mewbourne Oil Company","Bass Ranch",37H,DIMMIT,01,Oil & Gas,Producing,,,,,,,,13929,59720,0,0,No
42-371-96075-42,"Mewbourne Oil Company","King Ranch Unit",39,REEVES,08,Oil & Gas,Producing,,,,,,,,13911,64933,1,0,No
42-353-57343-08,"Diamondback Energy","Bass Ranch",39H,PECOS,08,Oil & Gas,Producing,,,,,,,,13872,57351,0,0,No
42-221-80215-38,"Callon Petroleum","Spraberry Trend",39H,HOWARD,08,Oil,Producing,,,,,,,,13844,57701,0,0,No
42-123-80612-36,"Pioneer Natural Resources","Wolfcamp Ranch",18,DEWITT,01,Oil & Gas,Producing,,,,,,,,13821,11900,0,0,No
42-317-29012-70,"EOG Resources","Permian Basin Unit",50H,MIDLAND,08,Oil & Gas,Producing,,,,,,,,13812,86026,1,0,No
42-123-56936-75,"Centennial Resource Development","Hendrick",30H,DEWITT,01,Oil,Producing,,,,,,,,13781,37351,0,0,No
42-127-50365-39,"EOG Resources","Permian Basin Unit",18H,DIMMIT,01,Oil,Producing,,,,,,,,13774,31440,0,0,No
42-127-73345-19,"SM Energy","King Ranch Unit",43,DIMMIT,01,Oil,Producing,,,,,,,,13746,37381,0,0,No
42-269-70070-71,"Centennial Resource Development","Ward County Unit",28H,LOVING,08,Oil,Producing,,,,,,,,13742,53860,2,0,No
42-130-33829-54,"Surge Energy","Ward County Unit",17H,ECTOR,08,Oil & Gas,Producing,,,,,,,,13738,51362,0,0,No
42-130-10453-80,"Ovintiv","Spraberry Trend",49H,ECTOR,08,Oil,Producing,,,,,,,,13663,37821,0,0,No
42-123-32580-52,"Endeavor Energy Resources","McElroy Ranch",22H,DEWITT,01,Oil,Producing,,,,,,,,13644,19181,0,0,No
42-269-65828-62,"Chevron USA","Fasken Ranch",5H,LOVING,08,Oil & Gas,Producing,,,,,,,,13643,80645,0,0,No
42-130-87893-14,"Ovintiv","Karnes Trough",23H,ECTOR,08,Oil,Producing,,,,,,,,13643,27930,0,0,No
42-317-71979-65,"Ovintiv","DeWitt Shale",19H,MIDLAND,08,Oil,Producing,,,,,,,,13617,77640,2,0,No
42-317-22222-70,"ConocoPhillips","Hendrick",22H,MIDLAND,08,Oil & Gas,Producing,,,,,,,,13613,47016,1,0,No
42-371-25732-96,"Ovintiv","Bone Spring Unit",35,REEVES,08,Oil,Producing,,,,,,,,13573,108767,0,0,No
42-123-63410-30,"CrownQuest Operating","Avalon Shale",21H,DEWITT,01,Oil,Producing,,,,,,,,13485,34267,0,0,No
42-130-47306-34,"Surge Energy","South Texas Unit",24H,ECTOR,08,Oil,Producing,,,,,,,,13445,39339,0,0,No
42-371-91950-95,"Pioneer Natural Resources","Loving County Ranch",31H,REEVES,08,Oil & Gas,Producing,,,,,,,,13419,34451,0,1,No
42-127-52701-46,"EOG Resources","Spraberry Trend",6,DIMMIT,01,Oil & Gas,Producing,,,,,,,,13332,66613,0,0,No
42-353-75124-17,"Surge Energy","Section 12",21H,PECOS,08,Oil,Producing,,,,,,,,13328,69188,0,0,No
42-303-32506-64,"ExxonMobil","Permian Basin Unit",19H,MARTIN,08,Oil,Producing,,,,,,,,13311,93509,0,0,No
42-353-78353-19,"Fasken Oil and Ranch","Fasken Ranch",39H,PECOS,08,Oil & Gas,Producing,,,,,,,,13306,63452,0,1,No
42-127-74044-62,"Laredo Petroleum","King Ranch Unit",3H,DIMMIT,01,Oil & Gas,Producing,,,,,,,,13260,34443,0,1,No
42-130-22339-24,"Surge Energy","Howard Draw",9,ECTOR,08,Oil & Gas,Producing,,,,,,,,13213,22029,0,0,No
42-127-56959-55,"EOG Resources","Cowden Ranch",24,DIMMIT,01,Oil & Gas,Producing,,,,,,,,13195,47518,0,1,No
42-353-38942-78,"Laredo Petroleum","Yates Pool",35,PECOS,08,Oil & Gas,Producing,,,,,,,,13144,20216,0,1,No
42-371-45620-34,"Ovintiv","Wolfcamp Ranch",45H,REEVES,08,Oil & Gas,Producing,,,,,,,,13059,33604,0,0,No
42-353-21593-84,"ExxonMobil","Permian Basin Unit",43H,PECOS,08,Oil & Gas,Producing,,,,,,,,13039,80445,0,0,No
42-475-20218-43,"CrownQuest Operating","Karnes Trough",31H,WARD,08,Oil & Gas,Producing,,,,,,,,13018,97313,0,0,No
42-239-56726-08,"ExxonMobil","South Texas Unit",37,KARNES,01,Oil & Gas,Producing,,,,,,,,12988,52853,2,0,No
42-269-54359-37,"Pioneer Natural Resources","Fasken Ranch",22H,LOVING,08,Oil,Producing,,,,,,,,12965,61111,0,0,No
42-317-83040-61,"SM Energy","Hendrick",42H,MIDLAND,08,Oil,Producing,,,,,,,,12829,69958,0,0,No
42-127-87981-79,"Marathon Oil","Block 42",47H,DIMMIT,01,Oil & Gas,Producing,,,,,,,,12829,58311,0,1,No
42-127-63621-51,"Fasken Oil and Ranch","Pecos Valley",30,DIMMIT,01,Oil,Producing,,,,,,,,12822,50168,0,0,No
42-371-83880-02,"Chevron USA","Bass Ranch",26H,REEVES,08,Oil,Producing,,,,,,,,12789,58968,0,0,No
42-475-83730-95,"Chevron USA","TXL Ranch",29H,WARD,08,Oil,Producing,,,,,,,,12750,64704,0,0,No
42-475-86033-78,"Occidental Petroleum","Yates Pool",48,WARD,08,Oil,Producing,,,,,,,,12720,101721,1,0,No
42-239-22363-65,"Laredo Petroleum","Dimmit County Oil",47H,KARNES,01,Oil,Producing,,,,,,,,12696,11774,0,0,No
42-475-35164-71,"Diamondback Energy","King Ranch Unit",15H,WARD,08,Oil,Producing,,,,,,,,12685,96553,0,0,No
42-123-83053-02,"Chevron USA","San Andres",9,DEWITT,01,Oil,Producing,,,,,,,,12672,54150,0,1,No
42-317-18983-40,"Callon Petroleum","Eagle Ford Unit",29,MIDLAND,08,Oil & Gas,Producing,,,,,,,,12653,40931,0,0,No
42-371-71612-83,"Ovintiv","Wolfcamp Ranch",45H,REEVES,08,Oil,Producing,,,,,,,,12623,24885,0,0,No
42-127-90472-64,"SM Energy","Permian Basin Unit",29,DIMMIT,01,Oil,Producing,,,,,,,,12605,62969,0,0,No
42-479-79745-46,"Laredo Petroleum","Webb County Gas",22,WEBB,04,Oil & Gas,Producing,,,,,,,,12521,22656,0,0,No
42-475-24003-94,"Devon Energy","Ward County Unit",14H,WARD,08,Oil & Gas,Producing,,,,,,,,12485,38677,0,1,No
42-479-38732-21,"Chevron USA","DeWitt Shale",10H,WEBB,04,Oil,Producing,,,,,,,,12481,32333,1,0,No
42-127-65163-94,"Mewbourne Oil Company","Cowden Ranch",2,DIMMIT,01,Oil & Gas,Producing,,,,,,,,12453,59332,0,1,No
42-475-42491-70,"Diamondback Energy","Spraberry Deep",13,WARD,08,Oil & Gas,Producing,,,,,,,,12437,38513,0,1,No
42-303-42421-78,"ExxonMobil","Yates Pool",26H,MARTIN,08,Oil,Producing,,,,,,,,12428,90205,0,0,No
42-123-86626-60,"Marathon Oil","Section 12",48,DEWITT,01,Oil,Producing,,,,,,,,12358,16051,0,0,No
42-353-43413-49,"Chevron USA","Ward County Unit",36H,PECOS,08,Oil,Producing,,,,,,,,12287,78427,1,0,No
42-371-43140-87,"ConocoPhillips","Bone Spring Unit",30H,REEVES,08,Oil,Producing,,,,,,,,12280,42553,1,0,No
42-127-70481-90,"Chevron USA","University Lands",11H,DIMMIT,01,Oil,Producing,,,,,,,,12224,16649,0,1,No
42-221-40777-23,"SM Energy","Howard Draw",2H,HOWARD,08,Oil & Gas,Producing,,,,,,,,12217,51113,0,0,No
